time,total_trades,wins,losses,win_rate,total_pnl
2026-06-21 20:24:44,1,0,1,0.0,-129.99
2026-06-21 20:24:47,1,0,1,0.0,-129.99
2026-06-21 20:24:50,1,0,1,0.0,-129.99
2026-06-21 20:24:54,1,0,1,0.0,-129.99
2026-06-21 20:24:57,1,0,1,0.0,-129.99
2026-06-21 20:25:01,1,0,1,0.0,-129.99
2026-06-21 20:25:04,1,0,1,0.0,-129.99
2026-06-21 20:25:07,1,0,1,0.0,-129.99
2026-06-21 20:25:10,1,0,1,0.0,-129.99
2026-06-21 20:25:14,1,0,1,0.0,-129.99
2026-06-21 20:25:17,1,0,1,0.0,-129.99
2026-06-21 20:25:20,1,0,1,0.0,-129.99
2026-06-21 20:25:24,1,0,1,0.0,-129.99
2026-06-21 20:25:27,1,0,1,0.0,-129.99
2026-06-21 20:25:30,1,0,1,0.0,-129.99
2026-06-21 20:25:34,1,0,1,0.0,-129.99
2026-06-21 20:25:37,1,0,1,0.0,-129.99
2026-06-21 20:25:40,1,0,1,0.0,-129.99
2026-06-21 20:25:44,1,0,1,0.0,-129.99
2026-06-21 20:25:47,1,0,1,0.0,-129.99
2026-06-21 20:25:50,1,0,1,0.0,-129.99
2026-06-21 20:25:54,1,0,1,0.0,-129.99
2026-06-21 20:25:57,1,0,1,0.0,-129.99
2026-06-21 20:26:00,1,0,1,0.0,-129.99
2026-06-21 20:26:04,1,0,1,0.0,-129.99
2026-06-21 20:26:07,1,0,1,0.0,-129.99
2026-06-21 20:26:10,1,0,1,0.0,-129.99
2026-06-21 20:26:14,1,0,1,0.0,-129.99
2026-06-21 20:26:17,1,0,1,0.0,-129.99
2026-06-21 20:26:20,1,0,1,0.0,-129.99
2026-06-21 20:26:24,1,0,1,0.0,-129.99
2026-06-21 20:26:27,1,0,1,0.0,-129.99
2026-06-21 20:26:30,1,0,1,0.0,-129.99
2026-06-21 20:26:34,1,0,1,0.0,-129.99
2026-06-21 20:26:37,1,0,1,0.0,-129.99
2026-06-21 20:26:40,1,0,1,0.0,-129.99
2026-06-21 20:26:44,1,0,1,0.0,-129.99
2026-06-21 20:26:47,1,0,1,0.0,-129.99
2026-06-21 20:26:50,1,0,1,0.0,-129.99
2026-06-21 20:26:54,1,0,1,0.0,-129.99
2026-06-21 20:26:57,1,0,1,0.0,-129.99
2026-06-21 20:27:00,1,0,1,0.0,-129.99
2026-06-21 20:27:04,1,0,1,0.0,-129.99
2026-06-21 20:27:07,1,0,1,0.0,-129.99
2026-06-21 20:27:10,1,0,1,0.0,-129.99
2026-06-21 20:27:14,1,0,1,0.0,-129.99
2026-06-21 20:27:17,1,0,1,0.0,-129.99
2026-06-21 20:27:20,1,0,1,0.0,-129.99
2026-06-21 20:27:24,1,0,1,0.0,-129.99
2026-06-21 20:27:27,1,0,1,0.0,-129.99
2026-06-21 20:27:30,1,0,1,0.0,-129.99
2026-06-21 20:27:34,1,0,1,0.0,-129.99
2026-06-21 20:27:37,1,0,1,0.0,-129.99
2026-06-21 20:27:40,1,0,1,0.0,-129.99
2026-06-21 20:27:44,1,0,1,0.0,-129.99
2026-06-21 20:27:47,1,0,1,0.0,-129.99
